,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
86,5,3.0,"17 Davey Crescent Orewa, Auckland",650.0,1250000,-36.5903256,174.6681286,7001409,0,0,0,0,0,0,Orewa,18,7.0
87,5,3.0,"32 Cassidy Drive Orewa, Auckland",519.0,1225000,-36.5937888,174.6739169,7001409,0,0,0,0,0,0,Orewa,18,7.0
88,5,3.0,"130 Arran Point Parade Orewa, Auckland",522.0,540000,-36.5930625,174.6780098,7001409,0,0,0,0,0,0,Orewa,18,7.0
89,5,3.0,"7 Maka Terrace Orewa, Auckland",651.0,1260000,-36.5936147,174.67732469999999,7001409,0,0,0,0,0,0,Orewa,18,7.0
90,4,2.0,"111 Godfrey Drive Orewa, Auckland",559.0,1050000,-36.590886499999996,174.66932,7001409,0,0,0,0,0,0,Orewa,18,7.0
91,5,3.0,"16 Gospel Heights (arrowsmith Dr) Flat Bush, Auckland",420.0,1200000,-36.9861529,174.9072372,7009106,45,48,30,18,24,24,Flat Bush,192,2.0
92,3,2.0,"25 Porter Crescent Helensville, Auckland",472.0,720000,-36.677469200000004,174.4522649,7001739,33,24,9,15,24,48,Helensville,150,7.0
93,3,1.0,"14 Stainton Place Otara, Auckland",1067.0,580000,-36.9563698,174.8892654,7008844,45,27,12,15,15,15,Otara,132,10.0
94,3,1.0,"20 Blampied Road Otara, Auckland",726.0,570000,-36.955804799999996,174.8879416,7008844,45,27,12,15,15,15,Otara,132,10.0
95,3,2.0,"627b Manukau Road Epsom, Auckland",251.0,1300000,-36.9047954,174.7739675,7007786,21,15,18,12,18,18,Epsom,108,4.0
96,5,2.0,"1/43 Shanaway Rise Hillcrest, Auckland",220.0,1225000,-36.800166299999994,174.7338294,7002953,42,33,21,21,6,18,Hillcrest,141,5.0
97,5,3.0,"18 Coolaghy Drive Flat Bush, Auckland",420.0,1250000,-36.971777100000004,174.918647,7009239,39,21,30,18,9,12,Flat Bush,129,3.0
98,4,2.0,"30 Glenelg Road Red Beach, Auckland",1467.0,970000,-36.6109852,174.7127236,7001568,24,12,15,12,18,42,Red Beach,132,4.0
