,Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
210,4,2.0,"25b Rangeview Road Sunnyvale, Auckland",922.0,860000,-36.8993074,174.6348866,7004028,102,39,45,36,15,36,Sunnyvale,279,8.0
211,3,2.0,"47c Rangeview Road Sunnyvale, Auckland",114.0,725000,-36.9006722,174.6350647,7004028,102,39,45,36,15,36,Sunnyvale,279,8.0
212,5,3.0,"23 Waikura Drive Te Atatu Peninsula, Auckland",686.0,1735000,-36.8360926,174.66037790000001,7004203,39,27,24,15,27,15,Te Atatu Peninsula,147,1.0
213,3,1.0,"383 West Coast Road Glen Eden, Auckland",1012.0,850000,-36.9085972,174.6380186,7007167,63,36,42,36,27,30,Glen Eden,231,9.0
214,5,3.0,"13 Thistle Close Beachlands, Auckland",470.0,1400000,-36.886992299999996,175.0062139,7007066,60,9,18,48,21,30,Beachlands,180,1.0
215,5,3.0,"21 Thistle Close Beachlands, Auckland",490.0,1350000,-36.88756729999999,175.00612980000002,7007066,60,9,18,48,21,30,Beachlands,180,1.0
216,5,2.0,"81 Ahutoetoe Road Millwater, Auckland",569.0,980000,-36.6122979,174.6567144,7001403,36,12,9,27,15,27,Wainui,129,4.0
217,4,2.0,"45 Kuhanui Drive Karaka, Auckland",550.0,1025000,-37.0779534,174.9188179,7009928,201,99,168,114,81,120,Karaka,789,1.0
218,3,2.0,"43 Costa Viva Crescent Karaka, Auckland",220.0,810000,-37.077566100000006,174.9201295,7009928,201,99,168,114,81,120,Karaka,789,1.0
219,5,3.0,"39 Silvana Drive Flat Bush, Auckland",404.0,1250000,-36.964403499999996,174.927909,7009304,69,42,60,30,24,30,Flat Bush,255,1.0
220,3,1.0,"15 Kirikiri Lane East Tamaki, Auckland",154.0,820000,-36.9337122,174.9080707,7009025,30,18,36,21,12,12,East Tamaki,123,5.0
221,3,1.0,"11 Arodella Crescent Ranui, Auckland",952.0,670000,-36.858717799999994,174.599451,7003540,57,27,30,18,12,15,Ranui,159,9.0
222,4,2.0,"44d Mountain Road Epsom, Auckland",1074.0,3200000,-36.8700679,174.7703548,7005559,33,27,24,9,39,54,Epsom,183,1.0
223,4,2.0,"10 Eyton Kay Road Hobsonville, Auckland",161.0,860000,-36.795950700000006,174.65593,7002301,51,36,57,18,6,12,Hobsonville,174,1.0
224,3,1.0,"268 Jervois Road Herne Bay, Auckland",473.0,2275000,-36.8474028,174.7324135,7004901,57,21,15,30,15,18,Herne Bay,153,4.0
225,4,2.0,"1/1 Woodcote Drive Glenfield, Auckland",170.0,920000,-36.7875914,174.7224742,7002794,39,36,36,18,30,48,Glenfield,198,5.0
226,4,2.0,"109 Blockhouse Bay Road Avondale, Auckland",689.0,1075000,-36.895269299999995,174.7006602,7004406,12,9,12,21,15,48,Avondale,117,8.0
227,3,1.0,"109a Blockhouse Bay Road Avondale, Auckland",348.0,1025000,-36.895269299999995,174.7006602,7004406,12,9,12,21,15,48,Avondale,117,8.0
228,4,2.0,"74 Tarrant Road Waimauku, Auckland",15230.0,1325000,-36.7338896,174.456874,7001370,36,12,9,24,21,18,Helensville,123,2.0
229,4,2.0,"45 Arrowsmith Road Waitakere, Auckland",260.0,1275000,-36.8465434,174.5210115,7003415,24,12,9,21,12,27,Waitakere,111,3.0
230,2,1.0,"14/127 Boundary Road Blockhouse Bay, Auckland",106.0,740000,-36.91975720000001,174.7118763,7007570,0,3,0,3,0,231,Blockhouse Bay,243,7.0
231,5,3.0,"1/134 Aberdeen Road Campbells Bay, Auckland",310.0,1525000,-36.752773299999994,174.7608761,7003148,57,21,27,27,27,27,Campbells Bay,177,2.0
232,3,1.0,"144 Forrest Hill Road Forrest Hill, Auckland",345.0,990000,-36.7663399,174.7477823,7003063,57,48,42,33,24,15,Forrest Hill,219,6.0
233,4,2.0,"9 Vivaldi Place Mount Roskill, Auckland",523.0,1225000,-36.911034,174.7241676,7007593,24,15,12,12,18,33,Mount Roskill,123,4.0
234,3,1.0,"5a Fir Street Waterview, Auckland",616.0,985000,-36.8813662,174.7009228,7004492,42,51,45,33,15,12,Waterview,198,4.0
235,4,2.0,"18 Routly Avenue Pukekohe, Auckland",1012.0,960000,-37.2203656,174.894608,7010519,24,12,9,12,24,27,Pukekohe,108,2.0
236,4,3.0,"35 Pinehurst Place Wattle Downs, Auckland",600.0,820000,-37.0520531,174.8876043,7009719,57,18,30,18,24,39,Wattle Downs,186,6.0
237,3,1.0,"18a Sophora Place Totara Heights, Auckland",120.0,780000,-37.0000106,174.900693,7009752,72,27,42,36,21,36,Totara Heights,231,4.0
238,3,2.0,"7 Antilla Place Half Moon Bay, Auckland",703.0,1380000,-36.887670799999995,174.89325669999997,7006719,54,21,27,36,24,60,Half Moon Bay,216,2.0
239,4,2.0,"5 Knox Road Manurewa, Auckland",984.0,720000,-37.020317,174.9003727,7009781,39,27,21,24,21,21,Manurewa,150,5.0
240,3,2.0,"14a Clyma Place Massey, Auckland",386.0,540000,-36.848476700000006,174.6098376,7003657,36,33,27,15,15,15,Massey,144,9.0
241,4,3.0,"1/103 Remuera Road Remuera, Auckland",222.0,1800000,-36.8736187,174.782018,7005727,18,42,33,9,12,15,Remuera,129,5.0
242,3,2.0,"4/17 Margot Street Epsom, Auckland",170.0,940000,-36.8780671,174.7776435,7005577,21,21,21,9,15,6,Epsom,90,6.0
243,3,2.0,"11 Marie Costello Way Beach Haven, Auckland",400.0,940000,-36.788751700000006,174.69266090000002,7002422,60,18,42,39,24,33,Beach Haven,210,4.0
244,3,2.0,"11 Marie Costello Way Beach Haven, Auckland",400.0,940000,-36.788751700000006,174.69266090000002,7002422,60,18,42,39,24,33,Beach Haven,210,4.0
245,3,1.0,"81a Waiatarua Road Remuera, Auckland",152.0,1160000,-36.8725755,174.8199281,7006072,72,15,33,33,24,48,Remuera,219,1.0
246,3,3.0,"156 Mokoia Road Birkenhead, Auckland",922.0,1650000,-36.8113451,174.71582800000002,7004545,30,30,27,27,24,48,Chatswood,189,6.0
247,4,3.0,"17 Voyager Drive Gulf Harbour, Auckland",428.0,960000,-36.6170889,174.7922216,7001695,60,15,21,33,33,63,Gulf Harbour,225,6.0
248,4,1.0,"95 Shakespear Road Army Bay, Auckland",5088.0,1900000,-36.6083432,174.8071064,7001715,36,6,9,18,33,39,Army Bay,141,1.0
249,4,3.0,"9 Crosshill Court Pokeno, Auckland",523.0,570000,-37.2380653,175.012596,7011028,9,18,12,6,21,18,Pokeno,87,1.0
250,4,2.0,"1 Hua Place Tuakau, Auckland",507.0,850000,-37.257721999999994,174.9388626,7010975,72,27,18,24,27,6,Tuakau,177,8.0
251,2,1.0,"2/519 Pakuranga Road Howick, Auckland",70.0,670000,-36.898975899999996,174.9106721,7006853,33,18,12,12,21,33,Howick,132,7.0
252,3,2.0,"21a Benson Road Remuera, Auckland",167.0,1650000,-36.8728739,174.8072187,7005981,39,12,12,24,21,24,Remuera,123,2.0
253,4,2.0,"7 Condliffe Place New Windsor, Auckland",956.0,990000,-36.902183,174.7117372,7004659,66,60,42,30,24,24,New Windsor,255,7.0
254,3,1.0,"1 Weldene Avenue Glenfield, Auckland",822.0,990000,-36.773546200000006,174.7230032,7002759,27,15,33,15,9,15,Glenfield,117,6.0
255,4,1.0,"48 Burundi Avenue Clendon Park, Auckland",613.0,650000,-37.0279286,174.86182230000003,7009491,96,27,42,15,15,24,Clendon Park,219,10.0
256,2,1.0,"9 Donovan Avenue Massey, Auckland",814.0,750000,-36.8458463,174.60943480000003,7003531,45,36,30,27,18,21,Massey,171,9.0
257,3,1.0,"21 Golf Avenue Otahuhu, Auckland",718.0,650000,-36.954143,174.83870280000002,7008379,66,48,36,30,21,36,Otahuhu,240,10.0
258,3,1.0,"34 Saxon Street Waterview, Auckland",1358.0,1820000,-36.8788108,174.69515019999997,7004376,33,21,33,36,30,21,Waterview,174,2.0
259,2,1.0,"257a Campbell Road Greenlane, Auckland",365.0,1175000,-36.8953984,174.7989407,7005916,30,42,33,12,6,24,Greenlane,141,6.0
260,3,2.0,"5c Gollan Road Mount Wellington, Auckland",314.0,1140000,-36.89394,174.84338449999998,7006363,48,15,30,36,9,21,Mount Wellington,159,5.0
261,4,2.0,"40 Constellation Avenue Beachlands, Auckland",872.0,1245000,-36.8842814,175.0094947,7007062,48,3,15,30,12,9,Beachlands,105,1.0
262,3,2.0,"10 Elizabeth Drive West Harbour, Auckland",388.0,680000,-36.8218485,174.6252384,7003777,39,30,21,15,15,9,West Harbour,129,8.0
263,5,3.0,"139d Long Drive St Heliers, Auckland",416.0,2300000,-36.8603424,174.8532553,7006416,48,12,24,30,18,39,St Heliers,177,3.0
264,4,3.0,"9b Allendale Road Mount Albert, Auckland",254.0,2175000,-36.8846936,174.7175628,7004622,36,21,24,30,18,24,Mount Albert,147,5.0
265,4,3.0,"9c Allendale Road Mount Albert, Auckland",254.0,2775000,-36.8846936,174.7175628,7004622,36,21,24,30,18,24,Mount Albert,147,5.0
266,6,3.0,"34d Arney Crescent Remuera, Auckland",602.0,6400000,-36.8699368,174.78892050000002,7005846,36,6,6,18,21,30,Remuera,129,1.0
267,3,2.0,"5 Gerda Place Ranui, Auckland",742.0,950000,-36.8734548,174.5973287,7003490,36,27,21,24,27,36,Ranui,171,3.0
268,3,2.0,"13b Kelsey Crescent Hillsborough, Auckland",186.0,900000,-36.9201159,174.75969609999999,7007767,78,42,54,36,30,42,Hillsborough,270,5.0
269,4,3.0,"2/7 Ferguson Street Mangere, Auckland",204.0,640000,-36.963376700000005,174.82711930000002,7008282,69,36,15,21,12,15,Mangere East,165,9.0
270,4,3.0,"3/7 Ferguson Street Mangere, Auckland",204.0,640000,-36.963376700000005,174.82711930000002,7008282,69,36,15,21,12,15,Mangere East,165,9.0
271,4,2.0,"71 Roberta Avenue Glendowie, Auckland",902.0,2450000,-36.8686782,174.8757624,7006644,39,15,9,27,30,27,Glendowie,141,2.0
272,3,1.0,"254 West Tamaki Road Glendowie, Auckland",921.0,1600000,-36.8687323,174.87550480000002,7006644,39,15,9,27,30,27,Wai O Taiki Bay,141,2.0
273,3,1.0,"20 Pasadena Avenue Point Chevalier, Auckland",714.0,1450000,-36.866313500000004,174.7172836,7004584,63,21,21,36,33,18,Point Chevalier,189,3.0
274,5,3.0,"121 Kawakawa Bay Coast Road Kawakawa Bay, Auckland",1501.0,1730000,-36.934496700000004,175.1875645,7007094,15,15,3,15,36,33,Kawakawa Bay,120,3.0
275,4,2.0,"44 Searle Drive Patumahoe, Auckland",2566.0,1250000,-37.18291970000001,174.82619509999998,7010325,90,21,63,48,27,48,Patumahoe,291,1.0
276,4,2.0,"2 Mirabell Place Patumahoe, Auckland",695.0,930000,-37.185345299999994,174.82719430000003,7010325,90,21,63,48,27,48,Patumahoe,291,1.0
277,3,1.0,"2/45 Seabrook Avenue New Lynn, Auckland",150.0,710000,-36.915392600000004,174.6740353,7007358,57,42,27,33,24,33,New Lynn,207,8.0
278,4,2.0,"42 Parrish Road Sandringham, Auckland",133.0,1280000,-36.8817233,174.74389299999999,7004990,57,30,15,27,30,15,Sandringham,174,6.0
279,2,1.0,"39 Edenvale Crescent Mount Eden, Auckland",359.0,1400000,-36.871350799999995,174.75929430000002,7005389,30,27,39,21,6,12,Mount Eden,141,6.0
280,4,2.0,"15a Rawhitiroa Road Kohimarama, Auckland",400.0,1800000,-36.85468770000001,174.8386994,7006292,33,6,12,18,21,36,Kohimarama,132,1.0
281,3,2.0,"29 Onetangi Road Onetangi, Auckland",1618.0,1080000,-36.7933277,175.0791116,7003392,39,9,24,21,24,51,Onetangi,171,6.0
282,4,2.0,"65 Matairangi Avenue Totara Heights, Auckland",253.0,720000,-37.001727100000004,174.9036267,7009753,45,33,24,21,30,30,Totara Heights,186,4.0
283,4,2.0,"42 Tawini Road Titirangi, Auckland",2856.0,1270000,-36.931383600000004,174.63750880000003,7007210,54,12,15,30,24,18,Titirangi,153,2.0
284,7,4.0,"407 Ormiston Road Flat Bush, Auckland",399.0,1450000,-36.968270000000004,174.9306696,7009312,126,72,90,51,36,42,Flat Bush,414,5.0
285,4,2.0,"297a Mount Albert Road Sandringham, Auckland",115.0,1000000,-36.9011595,174.7359376,7005056,57,36,30,18,15,24,Wesley,183,9.0
286,3,3.0,"15 Malmo Place Manurewa, Auckland",635.0,710000,-37.020591499999995,174.8684589,7009455,96,39,21,33,15,21,Manurewa,225,10.0
287,4,2.0,"27 Westminster Gardens Unsworth Heights, Auckland",600.0,1055000,-36.759316299999995,174.71186469999998,7002590,66,33,39,27,42,51,Unsworth Heights,255,2.0
288,5,2.0,"13 Rogers Avenue Eastern Beach, Auckland",883.0,1560000,-36.87510579999999,174.91412340000002,7006877,30,15,12,18,39,45,Eastern Beach,162,3.0
289,3,2.0,"59/386 Richmond Road Grey Lynn, Auckland",130.0,720000,-36.8563101,174.730722,7004733,21,39,39,21,21,12,Grey Lynn,156,5.0
290,5,5.0,"62 Manuel Road Silverdale, Auckland",659.0,1750000,-36.6050069,174.6740986,7001456,66,21,21,33,18,18,Silverdale,174,3.0
291,5,4.0,"4 Tawatawa Street Long Bay, Auckland",557.0,1675000,-36.681093100000005,174.73887919999999,7001929,27,12,21,21,12,21,Long Bay,117,2.0
292,5,4.0,"35 Bounty Road Long Bay, Auckland",608.0,2075000,-36.685947600000006,174.7427924,7001929,27,12,21,21,12,21,Long Bay,117,2.0
293,4,1.0,"10 Fisher Street Surfdale, Auckland",862.0,1000000,-36.79001470000001,175.02728390000001,7003355,30,24,15,24,21,24,Surfdale,144,4.0
294,3,1.0,"19 Beresford Avenue Surfdale, Auckland",1055.0,830000,-36.7893761,175.0281423,7003355,30,24,15,24,21,24,Surfdale,144,4.0
295,3,2.0,"29d Kamara Road Glen Eden, Auckland",402.0,710000,-36.9114342,174.6378628,7007169,57,18,36,33,15,18,Glen Eden,174,7.0
296,3,1.0,"16 School Road Kingsland, Auckland",701.0,1425000,-36.8718357,174.7366601,7004963,48,54,51,27,12,12,Morningside,201,5.0
297,3,2.0,"Remuera  Auckland City  1072 Remuera, Auckland",256.0,3275000,-36.8807382,174.7981463,7005843,12,12,6,9,15,33,Remuera,87,1.0
298,3,1.0,"11d Monteith Crescent Remuera, Auckland",285.0,880000,-36.8815435,174.8228154,7006221,36,27,27,24,9,33,Remuera,168,3.0
299,5,4.0,"5 Takurua Terrace Orewa, Auckland",452.0,1175000,-36.580596899999996,174.6722249,7001429,36,6,12,27,18,33,Orewa,141,1.0
300,2,1.0,"1/42b Candia Road Swanson, Auckland",605.0,640000,-36.871876,174.5890894,7003489,66,21,33,27,6,9,Swanson,153,10.0
301,3,1.0,"33 Wairau Avenue Avondale, Auckland",1343.0,1335000,-36.8930616,174.6863771,7004336,66,42,33,27,21,21,Avondale,216,9.0
302,5,3.0,"585 Great South Road Drury, Auckland",766.0,965000,-37.093205600000005,174.9445781,7010149,87,45,57,45,30,45,Rosehill,312,2.0
303,4,1.0,"50 Oraha Road Kumeu, Auckland",1437.0,920000,-36.769887100000005,174.5509508,7002193,30,12,12,18,15,15,Huapai,108,1.0
304,4,2.0,"12 Robert Might Road Huapai, Auckland",702.0,1150000,-36.762716299999994,174.5340476,7002170,84,30,54,36,42,42,Kumeu,291,1.0
305,4,2.0,"40j Konini Road Titirangi, Auckland",451.0,1260000,-36.9270196,174.6492794,7007264,75,18,18,51,33,24,Titirangi,228,1.0
306,2,2.0,"223 Green Lane West Epsom, Auckland",123.0,18000000,-36.8927725,174.77979109999998,7005755,3,9,15,6,15,21,Epsom,60,4.0
307,5,4.0,"12b Walpole Street Ellerslie, Auckland",505.0,1600000,-36.8931018,174.8022017,7006015,33,18,24,30,30,21,Ellerslie,150,7.0
308,4,2.0,"87 Naylors Drive Mangere, Auckland",221.0,720000,-36.982632,174.796744,7008064,123,51,48,27,24,21,Mangere,300,9.0
310,4,2.0,"12 Hea Road Hobsonville, Auckland",191.0,530000,-36.798371200000005,174.64743,7002267,60,66,60,24,24,18,Hobsonville,252,2.0
312,2,1.0,"1/67 Buckland Road Mangere, Auckland",80.0,580000,-36.9718136,174.8320786,7008292,54,30,39,15,27,39,Mangere East,201,8.0
313,3,2.0,"89 Kauri Point Road Laingholm, Auckland",1528.0,770000,-36.9772792,174.63167719999998,7007165,27,3,18,30,15,12,Laingholm,108,2.0
314,1,1.0,"3x/15 Nelson Street Auckland Central, Auckland",54.0,560000,-36.8466718,174.75996809999998,7005288,6,63,60,18,18,18,Auckland Central,183,4.0
315,4,1.0,"768 South Titirangi Road Titirangi, Auckland",2342.0,1360000,-36.9586578,174.6493112,7007292,36,15,9,21,21,33,Titirangi,138,2.0
316,3,1.0,"1103 Scenic Drive North Swanson, Auckland",1884.0,720000,-36.8745465,174.550974,7003426,33,24,15,24,39,36,Swanson,156,4.0
317,4,2.0,"37 Bleakhouse Road Mellons Bay, Auckland",847.0,2000000,-36.891025799999994,174.92200649999998,7006898,45,27,24,24,42,45,Howick,210,2.0
318,5,3.0,"35 Bleakhouse Road Mellons Bay, Auckland",1629.0,2300000,-36.890492,174.9226706,7006898,45,27,24,24,42,45,Howick,210,2.0
319,3,1.0,"20 Oriana Avenue Lynfield, Auckland",293.0,700000,-36.9294147,174.7245278,7007635,66,45,39,30,24,27,Lynfield,222,5.0
320,6,4.0,"44 Hughs Way Flat Bush, Auckland",409.0,1375000,-36.9761204,174.9157279,7009087,117,81,90,60,27,39,Flat Bush,423,2.0
321,4,2.0,"27 Mcculloch Road Panmure, Auckland",650.0,870000,-36.8948354,174.8591483,7006591,21,9,15,3,24,12,Panmure,87,10.0
322,4,2.0,"31 Pine Harbour Parade Beachlands, Auckland",815.0,1425000,-36.885200700000006,174.98930009999998,7007031,57,12,6,45,30,33,Beachlands,177,1.0
323,4,3.0,"1/117 Shelly Beach Road St Marys Bay, Auckland",275.0,1825000,-36.8400283,174.7420513,7004858,12,24,36,15,27,45,Saint Marys Bay,159,2.0
324,3,1.0,"111 Shelly Beach Road, Auckland",1300.0,3600000,-36.8402456,174.7421394,7004858,12,24,36,15,27,45,Saint Marys Bay,159,2.0
325,3,2.0,"556 Great North Road Grey Lynn, Auckland",179.0,1575000,-36.8659995,174.7375053,7004944,30,33,33,18,15,15,Grey Lynn,135,2.0
326,3,1.0,"23/340 Gulf Harbour Drive Gulf Harbour, Auckland",89.0,410000,-36.6143145,174.8032398,7001718,36,21,30,24,21,36,Gulf Harbour,165,8.0
327,4,2.0,"19 Muirlea Drive Flat Bush, Auckland",644.0,1100000,-36.9593057,174.9341799,7009287,108,39,72,69,30,33,Flat Bush,351,2.0
328,5,3.0,"9 Melness Place Flat Bush, Auckland",539.0,1225000,-36.9595355,174.93410569999998,7009287,108,39,72,69,30,33,Flat Bush,351,2.0
329,3,1.0,"161a Don Buck Road Massey, Auckland",451.0,640000,-36.8495702,174.6102219,7003661,57,21,36,21,15,18,Massey,168,7.0
330,3,2.0,"70 Fairclough Road Beach Haven, Auckland",1006.0,870000,-36.7925349,174.6953357,7002430,48,21,24,30,18,21,Beach Haven,168,8.0
331,3,2.0,"40a Glenfern Road Mellons Bay, Auckland",809.0,1325000,-36.8906925,174.93480780000002,7006944,27,9,12,12,12,45,Mellons Bay,117,3.0
332,3,1.0,"2/26 Caravelle Close Mangere, Auckland",80.0,500000,-36.9624846,174.793161,7008027,93,39,18,24,24,24,Mangere,225,10.0
333,3,1.0,"86 Williamson Avenue Grey Lynn, Auckland",556.0,1950000,-36.862159399999996,174.74280919999998,7004935,33,39,39,21,27,9,Grey Lynn,165,4.0
334,5,2.0,"31 Elgin Street Grey Lynn, Auckland",471.0,2075000,-36.8632281,174.7416011,7004935,33,39,39,21,27,9,Grey Lynn,165,4.0
335,4,3.0,"24/21 Birdwood Crescent Parnell, Auckland",195.0,1450000,-36.8589527,174.7800434,7005693,30,51,48,21,15,15,Parnell,180,5.0
336,4,2.0,"2284d Hunua Road Papakura, Auckland",1603.0,740000,-37.0793779,175.0703464,7010283,57,30,24,27,21,39,Hunua,207,3.0
337,4,2.0,"38 Hadley Wood Drive Wattle Downs, Auckland",574.0,1000000,-37.052032000000004,174.87727890000002,7009609,117,36,69,57,51,42,Wattle Downs,381,3.0
338,3,1.0,"1/12 Marewa Street Te Atatu South, Auckland",89.0,420000,-36.8549925,174.643131,7003952,45,30,21,21,18,21,Te Atatu South,156,7.0
339,4,1.0,"4 Paton Avenue Te Atatu South, Auckland",814.0,840000,-36.855803,174.642841,7003952,45,30,21,21,18,21,Te Atatu South,156,7.0
340,3,1.0,"1/9 Marewa Street Te Atatu South, Auckland",90.0,600000,-36.8547334,174.643806,7003952,45,30,21,21,18,21,Te Atatu South,156,7.0
341,3,1.0,"3/56 Watts Road Manurewa, Auckland",80.0,450000,-37.0165899,174.8721467,7009446,75,54,24,27,15,30,Manurewa,228,9.0
342,5,3.0,"6 Maraeariki Avenue Orewa, Auckland",581.0,1100000,-36.5815524,174.6899519,7001488,24,12,9,12,15,36,Orewa,111,7.0
343,2,1.0,"6/723 Remuera Road Remuera, Auckland",79.0,820000,-36.8791334,174.8226494,7006220,33,24,27,30,6,18,Remuera,132,4.0
344,3,1.0,"29 Dewhurst Place Favona, Auckland",360.0,660000,-36.952785,174.803846,7008085,57,24,27,18,21,27,Favona,177,10.0
345,5,2.0,"2 San Luis Place Golflands, Auckland",650.0,1325000,-36.9230544,174.9049592,7009011,39,27,30,21,27,27,Golflands,171,2.0
346,4,2.0,"5 Juliet Avenue Howick, Auckland",675.0,1150000,-36.8975677,174.9186666,7006910,48,33,30,21,24,21,Howick,177,6.0
347,4,3.0,"1/17 Lydia Avenue Northcote, Auckland",150.0,990000,-36.802913700000005,174.73397649999998,7002962,27,15,36,18,15,30,Northcote,147,2.0
348,5,3.0,"12 Camp X Place Whenuapai, Auckland",315.0,1100000,-36.7905871,174.61712250000002,7002238,66,162,63,24,12,21,Whenuapai,351,3.0
349,2,2.0,"4b/15 Fleet Street Eden Terrace, Auckland",103.0,750000,-36.8637961,174.7559946,7005364,15,57,72,18,6,6,Eden Terrace,174,4.0
350,4,3.0,"2/32 Gills Road Bucklands Beach, Auckland",450.0,1280000,-36.889838700000006,174.91784769999998,7006891,39,12,18,21,33,30,Bucklands Beach,150,3.0
351,3,2.0,"2/29 Carlisle Road Torbay, Auckland",140.0,900000,-36.709942299999994,174.740653,7002059,36,33,33,30,30,51,Torbay,207,3.0
352,4,2.0,"15 Markham Place Bucklands Beach, Auckland",974.0,1380000,-36.859434,174.90194440000002,7006767,33,12,9,21,30,30,Bucklands Beach,138,6.0
353,3,2.0,"Lot 2/166 Ennis Avenue Pakuranga, Auckland",178.0,1195000,-36.9193537,174.8890656,7008816,75,39,51,30,27,33,Pakuranga Heights,258,6.0
354,3,2.0,"86 Holly Street Avondale, Auckland",1077.0,1025000,-36.887128499999996,174.69160290000002,7004332,33,30,24,27,12,18,Avondale,147,7.0
355,4,1.0,"94A Holly Street, Auckland",550.0,850000,-36.8874761,174.6913819,7004332,33,30,24,27,12,18,Avondale,147,7.0
356,4,3.0,"200 Ridge Road Howick, Auckland",417.0,1260000,-36.9002271,174.9206737,7006919,30,15,12,15,18,57,Howick,147,6.0
357,3,1.0,"2/14 Ruth Street Manurewa, Auckland",80.0,500000,-37.0172609,174.88889269999999,7009658,78,90,48,24,24,30,Manurewa,291,9.0
358,5,4.0,"364 Pinecrest Drive Gulf Harbour, Auckland",1047.0,3000000,-36.6246261,174.80340859999998,7001722,27,18,27,12,9,33,Gulf Harbour,129,1.0
359,4,2.0,"79a Atkin Avenue Mission Bay, Auckland",576.0,1900000,-36.855118100000006,174.82824440000002,7006174,39,15,27,33,18,42,Mission Bay,171,2.0
360,3,1.0,"95 Keegan Drive Massey, Auckland",335.0,540000,-36.8444566,174.6231946,7003825,57,24,24,30,15,12,Massey,165,10.0
361,3,1.0,"5/108 Station Road Papatoetoe, Auckland",80.0,480000,-36.973832,174.8415098,7008409,63,39,39,21,15,12,Papatoetoe,189,9.0
362,3,1.0,"3/85a Tidal Road Mangere, Auckland",70.0,490000,-36.9799062,174.8256274,7008227,60,30,27,21,12,27,Mangere,177,10.0
363,4,1.0,"40 Harlston Road Mount Albert, Auckland",129.0,1775000,-36.8950614,174.71025649999999,7004514,33,21,15,27,15,21,Mount Albert,126,3.0
364,3,1.0,"1/31 Thomas Road Mangere, Auckland",80.0,500000,-36.9733379,174.7957699,7008037,96,27,39,33,27,24,Mangere,249,9.0
365,3,1.0,"21 Fairmount Road Titirangi, Auckland",495.0,690000,-36.919883899999995,174.66132109999998,7007316,24,6,24,15,6,15,Titirangi,105,5.0
366,4,2.0,"142 Hill Road The Gardens, Auckland",848.0,890000,-37.01195560000001,174.9131413,7009845,45,39,24,21,36,27,Manurewa,195,4.0
367,2,1.0,"5/103 Hinemoa Street Birkenhead, Auckland",90.0,630000,-36.8170459,174.7326281,7004846,24,18,15,15,30,30,Birkenhead,135,2.0
368,3,1.0,"25/955 Mount Eden Road Three Kings, Auckland",86.0,490000,-36.9018811,174.75893530000002,7005469,9,21,15,18,3,42,Three Kings,111,7.0
369,4,4.0,"48 Kings Road Three Kings, Auckland",697.0,1425000,-36.8988174,174.74959219999997,7005232,24,33,27,15,12,9,Mount Roskill,117,7.0
370,5,5.0,"50 Braemar Road Rothesay Bay, Auckland",415.0,2300000,-36.725024700000006,174.7481043,7002080,48,39,24,30,33,27,Rothesay Bay,198,2.0
371,3,1.0,"1/112 New Windsor Road New Windsor, Auckland",73.0,650000,-36.9028184,174.709662,7004527,45,30,30,21,21,24,New Windsor,168,7.0
372,3,1.0,"2/28 Gloucester Road Manurewa, Auckland",90.0,495000,-37.0155102,174.87758159999998,7009543,66,45,27,12,27,30,Manurewa,198,10.0
373,5,4.0,"17 Greenbank Drive St Johns, Auckland",740.0,2625000,-36.8754184,174.8349235,7006333,45,24,6,33,27,39,Saint Johns,171,1.0
374,5,2.0,"25 Seymour Avenue Papatoetoe, Auckland",809.0,1100000,-36.96529879999999,174.85797340000002,7008515,78,63,60,27,30,48,Papatoetoe,306,7.0
375,5,3.0,"20 Clive Road Epsom, Auckland",1310.0,3900000,-36.8735266,174.7670636,7005561,90,33,12,15,27,45,Epsom,219,2.0
376,4,3.0,"1b Roby Street Te Atatu Peninsula, Auckland",303.0,1160000,-36.83828270000001,174.65450969999998,7004216,39,12,24,24,12,24,Te Atatu Peninsula,138,7.0
377,3,1.0,"31 Hereford Street Te Atatu Peninsula, Auckland",675.0,980000,-36.8384958,174.65464369999998,7004216,39,12,24,24,12,24,Te Atatu Peninsula,138,7.0
378,4,2.0,"6 Mansion Court West Harbour, Auckland",502.0,1150000,-36.81402620000001,174.6412919,7002280,60,36,18,36,42,36,West Harbour,213,1.0
379,3,1.0,"3a Mclennan Road Mount Wellington, Auckland",80.0,580000,-36.9273044,174.8495935,7008448,57,45,33,21,18,21,Mount Wellington,195,10.0
380,3,1.0,"6a Dennis Road Papatoetoe, Auckland",353.0,1450000,-36.9773939,174.87510680000003,7008765,33,39,21,12,21,3,Papatoetoe,135,10.0
381,5,3.0,"10 Paripari Street Flat Bush, Auckland",325.0,660000,-36.98017120000001,174.9361137,7009314,21,18,9,15,6,6,Flat Bush,78,7.0
382,7,5.0,"17 Golden Avenue Flat Bush, Auckland",398.0,700000,-36.9766548,174.9241208,7009314,21,18,9,15,6,6,Flat Bush,78,7.0
383,7,5.0,"7 Ballinabreen Road Flat Bush, Auckland",428.0,1475000,-36.9806461,174.9295512,7009314,21,18,9,15,6,6,Flat Bush,78,7.0
384,5,4.0,"27 Paripari Street Flat Bush, Auckland",325.0,660000,-36.9794367,174.9359015,7009314,21,18,9,15,6,6,Flat Bush,78,7.0
